번호,시도,시군구,선별진료소,전화번호
528,경북,울릉군,울릉군보건의료원*,054-790-6871
529,경북,울진군,울진군의료원 *,054-785-7015
530,경북,의성군,의성군보건소*,054-830-6660
531,경북,의성군,공생병원*,054-834-3881
532,경북,청도군,청도군보건소(치매안심센터)*,"054-370-6566, 2673"
533,경북,청송군,청송군보건의료원*,054-870-7100
534,경북,청송군,경북북부제2교도소 부속의원*,054-870-2575
535,경북,칠곡군,칠곡군보건소*,054-973-4000
536,경북,칠곡군,왜관병원,054-971-1002
537,경북,포항시,포항시 북구보건소*,054-270-4114
538,경북,포항시,포항시 남구보건소*,054-270-4004
539,경북,포항시,포항세명 기독병원*,054-275-0005
540,경북,포항시,포항 성모병원*,054-272-0151
541,경북,포항시,포항의료원*,054-247-0551
542,경남,거제시,의료법인 거붕백병원*,055-733-0119
543,경남,거제시,의료법인 대우병원*,055-680-8119
544,경남,거제시,거제시 보건소*,055-639-6133
545,경남,거제시,맑은샘병원*,055-736-1004
546,경남,거창군,거창적십자병원*,055-944-3251
547,경남,거창군,거창군 보건소*,055-940-8337
548,경남,고성군,고성군 보건소*,055-670-4013
549,경남,김해시,김해중앙병원*,055-330-6007
550,경남,김해시,조은금강병원*,055-330-0300
551,경남,김해시,갑을장유병원*,055-310-6114
552,경남,김해시,김해시 보건소*,055-330-4483
553,경남,남해군,의료법인이도의료 재단 남해병원*,055-863-2201
554,경남,남해군,남해군 보건소*,055-860-8730
555,경남,밀양시,밀양 윤병원,055-354-2200
556,경남,밀양시,밀양시 보건소*,055-359-7015
557,경남,사천시,삼천포서울병원*,055-835-9018
558,경남,사천시,사천시 보건소*,055-831-3620
559,경남,사천시,의료법인승연의료재단 제일병원*,055-833-4400
560,경남,산청군,산청군보건의료원*,055-970-7500
561,경남,양산시,양산부산대학교병원*,055-360-1476
562,경남,양산시,베데스다 병원,055-384-9911
563,경남,양산시,웅상중앙병원,055-912-1032
564,경남,양산시,양산시 보건소*,055-392-5224
565,경남,의령군,의령병원,055-573-4100
566,경남,의령군,의령군 보건소*,055-570-4045
567,경남,진주시,진주제일병원*,055-756-2900
568,경남,진주시,진주고려병원*,055-751-2525
569,경남,진주시,진주반도병원*,055-749-0679
570,경남,진주시,진주복음병원*,055-749-7119
571,경남,진주시,진주세란병원*,055-760-7575
572,경남,진주시,진주한일병원*,055-750-1333
573,경남,진주시,진주시 보건소*,055-749-5714
574,경남,창녕군,태황의료재단 한성병원,055-530-5000
575,경남,창녕군,창녕군 보건소*,055-530-6217
576,경남,창원시,창원시 창원보건소*,055-225-5744
577,경남,창원시,SMG연세병원*,055-240-7777
578,경남,창원시,창원시 마산보건소*,055-225-5944
579,경남,창원시,창원시 진해보건소*,055-225-6123
580,경남,창원시,연세에스병원*,055-548-7700
581,경남,창원시,세광병원*,055-540-3700
582,경남,창원시,삼성창원병원*,055-233-6121
583,경남,창원시,마산의료원*,055-249-1116
584,경남,창원시,창원경상대학교병원*,"(주)055-214-1000, (야)055-214-2119"
585,경남,창원시,한마음창원병원,055-267-2000
586,경남,창원시,창원병원,055-280-7777
587,경남,창원시,창원파티마병원*,055-270-1020
588,경남,통영시,통영적십자병원*,055-644-8901
589,경남,통영시,통영시 보건소*,055-650-6050
590,경남,하동군,새하동병원*,055-880-4200
591,경남,하동군,하동군 보건소*,055-882-4000
592,경남,함안군,영동병원*,055-586-2000
593,경남,함안군,함안군 보건소*,055-580-3113
594,경남,함양군,함양성심병원*,055-963-4322
595,경남,함양군,함양군 보건소*,055-960-5334
596,경남,합천군,삼성합천병원*,055-933-3322
597,경남,합천군,합천군 보건소*,055-930-3683
598,제주,서귀포,서귀포의료원*,064-730-3000
599,제주,서귀포,서귀포열린병원*,064-762-8001
600,제주,제주시,제주한라병원*,064-740-5975
601,제주,제주시,한마음병원*,064-750-9119
602,제주,제주시,한국병원*,064-750-0119
603,제주,제주시,중앙병원*,064-786-7000
604,대구,달서구,달서구보건소 관할 자동차 이동형(Drive-thru) 임시선별진료소 *,053-667-5618
605,대구,달성군,달성군보건소 관할 자동차 이동형(Drive-thru) 임시선별진료소 *,053-668-3333
606,대구,동구,동구보건소 관할 자동차 이동형(Drive-thru) 임시선별진료소 *,053-662-3200
607,대구,서구,서구보건소 관할 자동차 이동형(Drive-thru) 임시선별진료소 *,053-663-3111
